,Unnamed: 0,Title,Metascore,Rated,Runtime,Released,Year,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score
3833,3833,Wrong,58.0,Not Rated,94 min,01 Feb 2013,2012,"Comedy, Mystery","$28,567",6.3,"8,647",Internet Movie Database,6.3/10,Rotten Tomatoes,67%,Metacritic,58/100
3835,3835,You're Next,66.0,R,95 min,23 Aug 2013,2011,"Horror, Mystery, Thriller","$25,064,090",6.5,"80,580",Internet Movie Database,6.5/10,Rotten Tomatoes,78%,Metacritic,66/100
3839,3839,Paranormal Activity: The Marked Ones,42.0,R,84 min,03 Jan 2014,2014,"Horror, Mystery, Thriller","$28,605,090",5.0,"37,490",Internet Movie Database,5.0/10,Rotten Tomatoes,39%,Metacritic,42/100
3843,3843,The Legend of Hercules,22.0,PG-13,99 min,10 Jan 2014,2014,"Action, Adventure, Fantasy","$14,739,982",4.2,"50,747",Internet Movie Database,4.2/10,Rotten Tomatoes,3%,Metacritic,22/100
3844,3844,Raze,41.0,R,92 min,16 Jan 2014,2013,"Action, Drama, Horror","$3,453",5.2,"5,407",Internet Movie Database,5.2/10,Rotten Tomatoes,45%,Metacritic,41/100
3847,3847,Jack Ryan: Shadow Recruit,57.0,PG-13,105 min,17 Jan 2014,2014,"Action, Drama, Thriller","$43,003,831",6.2,"116,036",Internet Movie Database,6.2/10,Rotten Tomatoes,55%,Metacritic,57/100
3850,3850,Ride Along,41.0,PG-13,99 min,17 Jan 2014,2014,"Action, Comedy, Crime","$110,374,905",6.2,"95,634",Internet Movie Database,6.2/10,Rotten Tomatoes,18%,Metacritic,41/100
3852,3852,"I, Frankenstein",30.0,PG-13,92 min,24 Jan 2014,2014,"Action, Fantasy, Horror, Sci-Fi, Thriller","$15,687,400",5.1,"75,392",Internet Movie Database,5.1/10,Rotten Tomatoes,5%,Metacritic,30/100
3854,3854,Labor Day,52.0,PG-13,111 min,31 Jan 2014,2013,"Drama, Romance","$13,362,308",6.9,"39,579",Internet Movie Database,6.9/10,Rotten Tomatoes,35%,Metacritic,52/100
3855,3855,That Awkward Moment,36.0,R,94 min,31 Jan 2014,2014,"Comedy, Romance","$23,264,422",6.1,"93,065",Internet Movie Database,6.1/10,Rotten Tomatoes,22%,Metacritic,36/100
3858,3858,The Monuments Men,52.0,PG-13,118 min,07 Feb 2014,2014,"Comedy, Drama, History, War","$67,239,378",6.1,"118,607",Internet Movie Database,6.1/10,Rotten Tomatoes,31%,Metacritic,52/100
3863,3863,The Pretty One,53.0,R,90 min,20 Apr 2013,2013,"Comedy, Drama","$11,186",6.3,"8,866",Internet Movie Database,6.3/10,Rotten Tomatoes,50%,Metacritic,53/100
3864,3864,Vampire Academy,31.0,PG-13,104 min,07 Feb 2014,2014,"Action, Comedy, Drama, Fantasy, Horror, Mystery, Thriller","$7,508,090",5.5,"49,720",Internet Movie Database,5.5/10,Rotten Tomatoes,16%,Metacritic,31/100
3865,3865,About Last Night,62.0,R,100 min,14 Feb 2014,2014,"Comedy, Romance","$39,477,140",6.1,"21,335",Internet Movie Database,6.1/10,Rotten Tomatoes,69%,Metacritic,62/100
3866,3866,Adult World,61.0,R,97 min,14 Feb 2014,2013,"Comedy, Drama","$16,740",6.1,"16,068",Internet Movie Database,6.1/10,Rotten Tomatoes,54%,Metacritic,61/100
3875,3875,Barefoot,22.0,PG-13,90 min,04 Sep 2014,2014,"Comedy, Drama, Romance","$11,766",6.6,"21,650",Internet Movie Database,6.6/10,Rotten Tomatoes,14%,Metacritic,22/100
3877,3877,The Bag Man,28.0,R,108 min,20 Mar 2014,2014,"Crime, Drama, Thriller","$48,817",5.2,"15,600",Internet Movie Database,5.2/10,Rotten Tomatoes,9%,Metacritic,28/100
3878,3878,Non-Stop,56.0,PG-13,106 min,28 Feb 2014,2014,"Action, Mystery, Thriller","$80,432,029",7.0,"236,677",Internet Movie Database,7.0/10,Rotten Tomatoes,61%,Metacritic,56/100
3880,3880,Son of God,37.0,PG-13,138 min,28 Feb 2014,2014,"Biography, Drama, History","$46,305,287",5.7,"17,671",Internet Movie Database,5.7/10,Rotten Tomatoes,21%,Metacritic,37/100
