,Title,Metascore,Rated,Runtime,Released,Year,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score
917,Big Fish,58,PG-13,125 min,09 Jan 2004,2003,"Adventure, Drama, Fantasy, Romance","$66,257,002",8.0,"393,294",Internet Movie Database,8.0/10,Rotten Tomatoes,75%,Metacritic,58/100
918,Biker Boyz,36,PG-13,110 min,31 Jan 2003,2003,"Action, Drama","$21,701,045",4.6,"12,171",Internet Movie Database,4.6/10,Rotten Tomatoes,23%,Metacritic,36/100
919,Black Cadillac,N/A,R,93 min,01 May 2003,2003,"Horror, Thriller",N/A,6.0,"2,682",Internet Movie Database,6.0/10,null,null,null,null
920,Blind Horizon,N/A,R,99 min,05 Mar 2004,2003,"Drama, Mystery, Thriller",N/A,5.6,"4,268",Internet Movie Database,5.6/10,null,null,null,null
921,Blizzard,N/A,G,93 min,24 Dec 2003,2003,"Comedy, Family",N/A,5.8,867,Internet Movie Database,5.8/10,Rotten Tomatoes,67%,null,null
922,Boat Trip,18,R,94 min,21 Mar 2003,2002,Comedy,"$8,525,095",4.9,"29,073",Internet Movie Database,4.9/10,Rotten Tomatoes,7%,Metacritic,18/100
923,Bringing Down the House,39,PG-13,105 min,07 Mar 2003,2003,Comedy,N/A,5.6,"33,457",Internet Movie Database,5.6/10,Rotten Tomatoes,34%,Metacritic,39/100
924,Bringing Rain,N/A,N/A,82 min,10 May 2003,2003,"Drama, Mystery, Romance",N/A,5.6,147,Internet Movie Database,5.6/10,null,null,null,null
925,Brother Bear,48,G,85 min,01 Nov 2003,2003,"Animation, Adventure, Comedy, Family, Fantasy","$85,095,337",6.8,"88,260",Internet Movie Database,6.8/10,Rotten Tomatoes,37%,Metacritic,48/100
926,The Brown Bunny,51,Not Rated,93 min,14 Nov 2003,2003,Drama,N/A,5.0,"13,033",Internet Movie Database,5.0/10,Rotten Tomatoes,46%,Metacritic,51/100
927,Bruce Almighty,46,PG-13,101 min,23 May 2003,2003,"Comedy, Drama, Fantasy","$242,589,580",6.7,"349,698",Internet Movie Database,6.7/10,Rotten Tomatoes,48%,Metacritic,46/100
928,Bulletproof Monk,40,PG-13,104 min,16 Apr 2003,2003,"Action, Comedy, Fantasy, Romance","$23,020,488",5.5,"46,199",Internet Movie Database,5.5/10,Rotten Tomatoes,23%,Metacritic,40/100
929,Camp,55,PG-13,114 min,29 Aug 2003,2003,"Comedy, Musical, Drama","$1,566,968",6.2,"5,451",Internet Movie Database,6.2/10,Rotten Tomatoes,64%,Metacritic,55/100
930,Carolina,N/A,PG-13,96 min,29 Apr 2004,2003,"Comedy, Drama, Romance",N/A,6.2,"3,821",Internet Movie Database,6.2/10,null,null,null,null
931,Casa de los babys,55,R,95 min,01 Jan 2004,2003,Drama,"$312,136",6.3,"1,986",Internet Movie Database,6.3/10,Rotten Tomatoes,58%,Metacritic,55/100
932,The Cat in the Hat,19,PG,82 min,21 Nov 2003,2003,"Adventure, Comedy, Family, Fantasy","$100,446,895",3.9,"46,611",Internet Movie Database,3.9/10,Rotten Tomatoes,9%,Metacritic,19/100
933,Charlie's Angels: Full Throttle,48,PG-13,106 min,27 Jun 2003,2003,"Action, Adventure, Comedy, Crime","$100,685,880",4.9,"113,614",Internet Movie Database,4.9/10,Rotten Tomatoes,42%,Metacritic,48/100
934,Chasing Papi,33,PG,80 min,16 Apr 2003,2003,"Comedy, Romance","$6,052,563",4.8,"3,752",Internet Movie Database,4.8/10,Rotten Tomatoes,14%,Metacritic,33/100
935,Cheaper by the Dozen,46,PG,98 min,25 Dec 2003,2003,"Comedy, Family","$138,507,634",5.8,"87,688",Internet Movie Database,5.8/10,Rotten Tomatoes,24%,Metacritic,46/100
936,Christmas Child,N/A,NOT RATED,96 min,09 Nov 2004,2004,Drama,N/A,6.3,388,Internet Movie Database,6.3/10,null,null,null,null
937,Coffee and Cigarettes,65,R,95 min,11 Jun 2004,2003,"Comedy, Drama, Music","$1,971,135",7.1,"55,846",Internet Movie Database,7.1/10,Rotten Tomatoes,64%,Metacritic,65/100
938,Cold Creek Manor,37,R,118 min,19 Sep 2003,2003,"Drama, Mystery, Thriller",N/A,5.0,"20,158",Internet Movie Database,5.0/10,Rotten Tomatoes,12%,Metacritic,37/100
939,Cold Mountain,73,R,154 min,25 Dec 2003,2003,"Adventure, Drama, History, Romance, War",N/A,7.2,"133,181",Internet Movie Database,7.2/10,Rotten Tomatoes,71%,Metacritic,73/100
940,Comandante,N/A,NOT RATED,99 min,06 Jun 2003,2003,Documentary,N/A,7.0,"3,335",Internet Movie Database,7.0/10,Rotten Tomatoes,62%,null,null
941,The Company,73,PG-13,112 min,20 May 2004,2003,"Drama, Music, Romance",N/A,6.3,"6,037",Internet Movie Database,6.3/10,Rotten Tomatoes,72%,Metacritic,73/100
942,Confidence,59,R,97 min,25 Apr 2003,2003,"Crime, Thriller","$12,148,629",6.7,"32,492",Internet Movie Database,6.7/10,Rotten Tomatoes,69%,Metacritic,59/100
943,The Cooler,69,R,101 min,16 Jan 2004,2003,"Drama, Romance","$8,179,538",7.0,"31,184",Internet Movie Database,7.0/10,Rotten Tomatoes,77%,Metacritic,69/100
944,The Core,48,PG-13,135 min,28 Mar 2003,2003,"Action, Adventure, Sci-Fi, Thriller","$31,042,346",5.5,"86,848",Internet Movie Database,5.5/10,Rotten Tomatoes,40%,Metacritic,48/100
945,Cosmopolitan,N/A,N/A,53 min,05 Nov 2003,2003,"Drama, Romance",N/A,7.6,79,Internet Movie Database,7.6/10,null,null,null,null
946,Cradle 2 the Grave,36,R,101 min,28 Feb 2003,2003,"Action, Crime, Drama, Thriller","$34,600,000",5.8,"39,447",Internet Movie Database,5.8/10,Rotten Tomatoes,25%,Metacritic,36/100
947,Crime Spree,N/A,R,105 min,16 Apr 2003,2003,"Action, Comedy, Crime",N/A,6.6,"5,091",Internet Movie Database,6.6/10,Rotten Tomatoes,43%,null,null
948,Daddy Day Care,39,PG,92 min,09 May 2003,2003,"Comedy, Family","$103,600,000",5.5,"59,370",Internet Movie Database,5.5/10,Rotten Tomatoes,27%,Metacritic,39/100
949,Daredevil,N/A,TV-MA,54 min,10 Apr 2015,2015–2018,"Action, Crime, Drama, Fantasy, Sci-Fi, Thriller",null,8.6,"334,744",Internet Movie Database,8.6/10,null,null,null,null
950,Dark Blue,57,R,118 min,21 Feb 2003,2002,"Crime, Drama, Thriller","$9,059,588",6.6,"19,533",Internet Movie Database,6.6/10,Rotten Tomatoes,58%,Metacritic,57/100
951,Darkness Falls,23,PG-13,86 min,24 Jan 2003,2003,"Fantasy, Horror, Mystery, Thriller","$32,032,215",5.0,"28,820",Internet Movie Database,5.0/10,Rotten Tomatoes,9%,Metacritic,23/100
952,Deliver Us from Eva,46,R,105 min,07 Feb 2003,2003,"Comedy, Drama, Romance","$17,334,912",6.0,"6,106",Internet Movie Database,6.0/10,Rotten Tomatoes,44%,Metacritic,46/100
953,Devil's Pond,N/A,R,92 min,02 Mar 2005,2003,"Drama, Thriller",N/A,5.5,"3,387",Internet Movie Database,5.5/10,null,null,null,null
954,Dickie Roberts: Former Child Star,36,PG-13,98 min,05 Sep 2003,2003,Comedy,"$22,715,908",5.6,"12,984",Internet Movie Database,5.6/10,Rotten Tomatoes,23%,Metacritic,36/100
955,Le divorce,N/A,N/A,40 min,28 Oct 2008,2008,"Short, Romance",N/A,6.6,12,Internet Movie Database,6.6/10,null,null,null,null
956,Down with Love,52,PG-13,101 min,16 May 2003,2003,"Comedy, Romance","$20,186,516",6.3,"37,581",Internet Movie Database,6.3/10,Rotten Tomatoes,60%,Metacritic,52/100
957,Dreamcatcher,35,R,134 min,21 Mar 2003,2003,"Drama, Horror, Sci-Fi, Thriller","$33,700,000",5.5,"85,297",Internet Movie Database,5.5/10,Rotten Tomatoes,29%,Metacritic,35/100
958,Dumb and Dumberer: When Harry Met Lloyd,19,PG-13,85 min,13 Jun 2003,2003,Comedy,"$26,096,584",3.4,"35,237",Internet Movie Database,3.4/10,Rotten Tomatoes,10%,Metacritic,19/100
959,Duplex,50,PG-13,89 min,26 Sep 2003,2003,Comedy,N/A,5.9,"52,601",Internet Movie Database,5.9/10,Rotten Tomatoes,35%,Metacritic,50/100
960,DysFunktional Family,51,R,89 min,04 Apr 2003,2003,"Comedy, Documentary","$2,152,090",6.6,811,Internet Movie Database,6.6/10,Rotten Tomatoes,43%,Metacritic,51/100
961,Elephant,70,R,81 min,14 Nov 2003,2003,"Crime, Drama, Thriller","$1,189,207",7.2,"81,180",Internet Movie Database,7.2/10,Rotten Tomatoes,73%,Metacritic,70/100
962,Elf,64,PG,97 min,07 Nov 2003,2003,"Comedy, Family, Fantasy, Romance","$173,400,000",6.9,"192,903",Internet Movie Database,6.9/10,Rotten Tomatoes,83%,Metacritic,64/100
963,Evil Alien Conquerors,N/A,PG-13,89 min,03 Dec 2003,2003,"Comedy, Sci-Fi",N/A,4.9,870,Internet Movie Database,4.9/10,null,null,null,null
964,Faster,44,R,98 min,24 Nov 2010,2010,"Action, Crime, Drama, Thriller","$23,225,911",6.4,"94,364",Internet Movie Database,6.4/10,Rotten Tomatoes,42%,Metacritic,44/100
965,Festival Express,85,R,90 min,29 Apr 2004,2003,"Documentary, History, Music","$908,932",7.6,"2,064",Internet Movie Database,7.6/10,Rotten Tomatoes,96%,Metacritic,85/100
966,The Fighting Temptations,53,PG-13,123 min,19 Sep 2003,2003,"Comedy, Drama, Music, Romance","$30,213,026",5.5,"6,455",Internet Movie Database,5.5/10,Rotten Tomatoes,42%,Metacritic,53/100
967,Final Destination 2,38,R,90 min,31 Jan 2003,2003,Horror,"$46,500,000",6.2,"141,872",Internet Movie Database,6.2/10,Rotten Tomatoes,48%,Metacritic,38/100
968,Finding Nemo,90,G,100 min,30 May 2003,2003,"Animation, Adventure, Comedy, Family","$380,529,370",8.1,"879,317",Internet Movie Database,8.1/10,Rotten Tomatoes,99%,Metacritic,90/100
969,Flywheel,N/A,Not Rated,120 min,25 Jul 2003,2003,Drama,N/A,6.9,"3,584",Internet Movie Database,6.9/10,null,null,null,null
970,The Fog of War,N/A,Not Rated,83 min,N/A,2011,"Horror, Thriller, War",N/A,5.3,15,Internet Movie Database,5.3/10,null,null,null,null
971,Freaky Friday,70,PG,97 min,06 Aug 2003,2003,"Comedy, Family, Fantasy, Music, Romance","$110,180,505",6.1,"116,637",Internet Movie Database,6.1/10,Rotten Tomatoes,87%,Metacritic,70/100
972,Freddy vs. Jason,37,R,97 min,15 Aug 2003,2003,"Action, Horror","$82,200,000",5.7,"104,502",Internet Movie Database,5.7/10,Rotten Tomatoes,41%,Metacritic,37/100
973,From Justin to Kelly,14,PG,81 min,20 Jun 2003,2003,"Comedy, Musical, Romance","$4,584,577",2.1,"24,397",Internet Movie Database,2.1/10,Rotten Tomatoes,10%,Metacritic,14/100
974,Gang of Roses,N/A,R,94 min,10 Oct 2003,2003,"Action, Drama, Western",N/A,2.4,938,Internet Movie Database,2.4/10,null,null,null,null
975,Gigli,18,R,121 min,01 Aug 2003,2003,"Comedy, Crime, Romance",N/A,2.4,"44,514",Internet Movie Database,2.4/10,Metacritic,18/100,null,null
976,Gods and Generals,30,PG-13,219 min,21 Feb 2003,2003,"Biography, Drama, History, War","$12,900,000",6.4,"14,634",Internet Movie Database,6.4/10,Rotten Tomatoes,8%,Metacritic,30/100
977,Good Boy!,49,PG,87 min,10 Oct 2003,2003,"Comedy, Drama, Family, Fantasy, Sci-Fi","$37,566,230",5.1,"3,885",Internet Movie Database,5.1/10,Rotten Tomatoes,44%,Metacritic,49/100
978,Gothika,38,R,98 min,21 Nov 2003,2003,"Horror, Mystery, Thriller","$59,537,388",5.8,"101,567",Internet Movie Database,5.8/10,Rotten Tomatoes,14%,Metacritic,38/100
979,Grand Theft Parsons,46,PG-13,88 min,18 Jun 2004,2003,"Adventure, Comedy, Drama",N/A,6.1,"3,058",Internet Movie Database,6.1/10,Rotten Tomatoes,46%,Metacritic,46/100
980,Grind,30,PG-13,105 min,15 Aug 2003,2003,"Adventure, Comedy, Sport","$5,111,630",6.0,"11,325",Internet Movie Database,6.0/10,Rotten Tomatoes,8%,Metacritic,30/100
981,A Guy Thing,27,PG-13,101 min,17 Jan 2003,2003,"Comedy, Romance","$15,408,822",5.6,"15,915",Internet Movie Database,5.6/10,Rotten Tomatoes,24%,Metacritic,27/100
982,The Haunted Mansion,34,PG,88 min,26 Nov 2003,2003,"Comedy, Family, Fantasy, Horror, Mystery","$75,759,571",5.0,"38,663",Internet Movie Database,5.0/10,Rotten Tomatoes,13%,Metacritic,34/100
983,Head of State,44,PG-13,95 min,28 Mar 2003,2003,Comedy,"$37,788,228",5.5,"17,159",Internet Movie Database,5.5/10,Rotten Tomatoes,30%,Metacritic,44/100
984,Hey DJ,N/A,N/A,86 min,02 Apr 2005,2003,"Comedy, Drama, Music",N/A,7.1,569,Internet Movie Database,7.1/10,null,null,null,null
985,Holes,71,PG,117 min,18 Apr 2003,2003,"Adventure, Comedy, Drama, Family, Mystery","$67,325,559",7.0,"71,003",Internet Movie Database,7.0/10,Rotten Tomatoes,77%,Metacritic,71/100
986,Hollywood Homicide,47,PG-13,116 min,13 Jun 2003,2003,"Action, Comedy, Crime, Thriller","$30,013,346",5.3,"34,495",Internet Movie Database,5.3/10,Rotten Tomatoes,29%,Metacritic,47/100
987,Honey,37,PG-13,94 min,05 Dec 2003,2003,"Drama, Music, Romance","$30,222,640",5.3,"41,341",Internet Movie Database,5.3/10,Rotten Tomatoes,21%,Metacritic,37/100
988,Hope Springs,65,PG-13,100 min,08 Aug 2012,2012,"Comedy, Drama, Romance","$63,300,000",6.3,"38,991",Internet Movie Database,6.3/10,Rotten Tomatoes,76%,Metacritic,65/100
989,House of 1000 Corpses,31,R,89 min,11 Apr 2003,2003,Horror,"$12,583,510",6.1,"70,046",Internet Movie Database,6.1/10,Rotten Tomatoes,20%,Metacritic,31/100
990,House of Sand and Fog,71,R,126 min,09 Jan 2004,2003,"Crime, Drama","$12,924,917",7.5,"62,266",Internet Movie Database,7.5/10,Rotten Tomatoes,74%,Metacritic,71/100
991,House of the Dead,15,R,90 min,10 Oct 2003,2003,"Action, Adventure, Horror","$10,199,354",2.0,"34,943",Internet Movie Database,2.0/10,Rotten Tomatoes,3%,Metacritic,15/100
992,How to Deal,45,PG-13,101 min,18 Jul 2003,2003,"Comedy, Drama, Romance","$14,108,518",5.7,"8,861",Internet Movie Database,5.7/10,Rotten Tomatoes,27%,Metacritic,45/100
993,How to Lose a Guy in 10 Days,45,PG-13,116 min,07 Feb 2003,2003,"Comedy, Romance","$105,765,605",6.4,"193,663",Internet Movie Database,6.4/10,Rotten Tomatoes,42%,Metacritic,45/100
994,Hulk,54,PG-13,138 min,20 Jun 2003,2003,"Action, Sci-Fi","$132,122,995",5.6,"241,646",Internet Movie Database,5.6/10,Rotten Tomatoes,62%,Metacritic,54/100
995,The Human Stain,57,R,106 min,29 Oct 2003,2003,"Drama, Romance, Thriller",N/A,6.2,"28,163",Internet Movie Database,6.2/10,Rotten Tomatoes,42%,Metacritic,57/100
996,The Hunted,40,R,94 min,14 Mar 2003,2003,"Action, Crime, Drama, Thriller","$34,195,533",6.1,"41,121",Internet Movie Database,6.1/10,Rotten Tomatoes,29%,Metacritic,40/100
997,I Am David,47,PG,90 min,03 Dec 2004,2003,Drama,"$252,018",7.3,"6,916",Internet Movie Database,7.3/10,Rotten Tomatoes,39%,Metacritic,47/100
998,Identity,64,R,90 min,25 Apr 2003,2003,"Mystery, Thriller","$51,475,962",7.3,"211,572",Internet Movie Database,7.3/10,Rotten Tomatoes,62%,Metacritic,64/100
999,Imagining Argentina,27,R,107 min,16 Apr 2004,2003,"Drama, Romance, Thriller",N/A,6.2,"3,121",Internet Movie Database,6.2/10,Rotten Tomatoes,31%,Metacritic,27/100
1000,In the Cut,46,R,119 min,31 Oct 2003,2003,"Mystery, Thriller","$4,717,455",5.3,"20,579",Internet Movie Database,5.3/10,Rotten Tomatoes,33%,Metacritic,46/100
1001,The In-Laws,46,PG-13,98 min,23 May 2003,2003,"Action, Comedy, Thriller","$20,384,203",5.7,"15,501",Internet Movie Database,5.7/10,Rotten Tomatoes,33%,Metacritic,46/100
1002,Indigo,N/A,UNRATED,89 min,28 Jan 2005,2003,Drama,N/A,4.9,320,Internet Movie Database,4.9/10,null,null,null,null
1003,Intolerable Cruelty,71,PG-13,100 min,10 Oct 2003,2003,"Comedy, Crime, Romance","$35,096,190",6.2,"85,920",Internet Movie Database,6.2/10,Rotten Tomatoes,75%,Metacritic,71/100
1004,It Runs in the Family,44,PG-13,109 min,25 Apr 2003,2003,"Comedy, Drama, Romance","$7,375,836",5.6,"4,422",Internet Movie Database,5.6/10,Rotten Tomatoes,29%,Metacritic,44/100
1005,The Italian Job,68,PG-13,111 min,30 May 2003,2003,"Action, Crime, Thriller","$105,996,316",7.0,"324,924",Internet Movie Database,7.0/10,Rotten Tomatoes,73%,Metacritic,68/100
1006,A Day in Hell: On the Set of 'Jeepers Creepers II',N/A,N/A,27 min,23 Dec 2003,2003,"Documentary, Short",N/A,6.2,28,Internet Movie Database,6.2/10,null,null,null,null
1007,The Jungle Book 2,38,G,72 min,14 Feb 2003,2003,"Animation, Adventure, Family, Musical","$47,840,957",5.4,"13,929",Internet Movie Database,5.4/10,Rotten Tomatoes,19%,Metacritic,38/100
1008,Just Married,28,PG-13,95 min,10 Jan 2003,2003,"Comedy, Romance",N/A,5.5,"64,718",Internet Movie Database,5.5/10,Metacritic,28/100,null,null
1009,Kangaroo Jack,16,PG,89 min,17 Jan 2003,2003,"Action, Adventure, Comedy, Crime, Family",N/A,4.4,"27,294",Internet Movie Database,4.4/10,Metacritic,16/100,null,null
1010,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1011,Lara Croft Tomb Raider: The Cradle of Life,43,PG-13,117 min,25 Jul 2003,2003,"Action, Adventure, Fantasy","$65,700,000",5.5,"123,092",Internet Movie Database,5.5/10,Rotten Tomatoes,25%,Metacritic,43/100
1012,The Last Samurai,55,R,154 min,05 Dec 2003,2003,"Action, Drama, War","$111,000,000",7.7,"373,918",Internet Movie Database,7.7/10,Rotten Tomatoes,66%,Metacritic,55/100
1013,The League of Extraordinary Gentlemen,30,PG-13,110 min,11 Jul 2003,2003,"Action, Adventure, Fantasy, Sci-Fi","$66,327,144",5.8,"158,704",Internet Movie Database,5.8/10,Rotten Tomatoes,17%,Metacritic,30/100
1014,"Legally Blonde 2: Red, White & Blonde",47,PG-13,95 min,02 Jul 2003,2003,Comedy,"$89,808,372",4.8,"57,479",Internet Movie Database,4.8/10,Rotten Tomatoes,37%,Metacritic,47/100
1015,The Life of David Gale,31,R,130 min,21 Feb 2003,2003,"Crime, Drama, Thriller","$19,593,740",7.6,"102,485",Internet Movie Database,7.6/10,Rotten Tomatoes,19%,Metacritic,31/100
1016,The Lizzie McGuire Movie,56,PG,94 min,02 May 2003,2003,"Adventure, Comedy, Family, Music, Romance","$42,672,630",5.5,"33,464",Internet Movie Database,5.5/10,Rotten Tomatoes,41%,Metacritic,56/100
1017,Looney Tunes: Back in Action,64,PG,91 min,14 Nov 2003,2003,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","$21,000,000",5.7,"30,438",Internet Movie Database,5.7/10,Rotten Tomatoes,56%,Metacritic,64/100
1018,The Lord of the Rings: The Return of the King,94,PG-13,201 min,17 Dec 2003,2003,"Adventure, Drama, Fantasy","$364,000,000",8.9,"1,516,077",Internet Movie Database,8.9/10,Rotten Tomatoes,93%,Metacritic,94/100
1019,Lost in Translation,89,R,102 min,03 Oct 2003,2003,Drama,"$44,566,004",7.7,"378,200",Internet Movie Database,7.7/10,Rotten Tomatoes,95%,Metacritic,89/100
1020,Love Don't Cost a Thing,37,PG-13,100 min,12 Dec 2003,2003,"Comedy, Romance, Drama","$21,718,038",5.2,"7,590",Internet Movie Database,5.2/10,Rotten Tomatoes,13%,Metacritic,37/100
1021,Malibu's Most Wanted,43,PG-13,86 min,18 Apr 2003,2003,"Comedy, Crime","$34,308,901",5.2,"17,761",Internet Movie Database,5.2/10,Rotten Tomatoes,31%,Metacritic,43/100
1022,A Man Apart,36,R,109 min,04 Apr 2003,2003,"Action, Crime, Drama, Thriller","$26,183,197",6.1,"42,656",Internet Movie Database,6.1/10,Rotten Tomatoes,11%,Metacritic,36/100
1023,Manhood,N/A,R,82 min,23 Jan 2003,2003,"Comedy, Drama",N/A,5.3,245,Internet Movie Database,5.3/10,null,null,null,null
1024,Marci X,20,R,84 min,22 Aug 2003,2003,"Comedy, Music","$1,528,682",2.8,"4,767",Internet Movie Database,2.8/10,Rotten Tomatoes,8%,Metacritic,20/100
1025,Masked and Anonymous,32,PG-13,112 min,08 Aug 2003,2003,"Comedy, Drama, Music, Western","$115,149",5.4,"4,288",Internet Movie Database,5.4/10,Rotten Tomatoes,25%,Metacritic,32/100
1026,Master and Commander: The Far Side of the World,81,PG-13,138 min,14 Nov 2003,2003,"Action, Adventure, Drama, History, War","$92,100,000",7.4,"190,915",Internet Movie Database,7.4/10,Rotten Tomatoes,85%,Metacritic,81/100
1027,Matchstick Men,61,PG-13,116 min,12 Sep 2003,2003,"Comedy, Crime, Drama, Thriller","$36,873,198",7.3,"118,647",Internet Movie Database,7.3/10,Rotten Tomatoes,82%,Metacritic,61/100
1028,The Matrix Reloaded,62,R,138 min,15 May 2003,2003,"Action, Sci-Fi","$281,500,000",7.2,"483,602",Internet Movie Database,7.2/10,Rotten Tomatoes,73%,Metacritic,62/100
1029,The Matrix Revolutions,47,R,129 min,05 Nov 2003,2003,"Action, Sci-Fi","$139,076,032",6.7,"420,919",Internet Movie Database,6.7/10,Rotten Tomatoes,35%,Metacritic,47/100
1030,May,58,R,93 min,11 Apr 2003,2002,"Drama, Horror",N/A,6.6,"31,120",Internet Movie Database,6.6/10,Rotten Tomatoes,68%,Metacritic,58/100
1031,The Medallion,38,PG-13,88 min,22 Aug 2003,2003,"Action, Comedy, Fantasy","$21,963,412",5.2,"36,756",Internet Movie Database,5.2/10,Rotten Tomatoes,17%,Metacritic,38/100
1032,A Mighty Wind,81,PG-13,91 min,09 May 2003,2003,"Comedy, Music","$17,475,811",7.3,"24,366",Internet Movie Database,7.3/10,Rotten Tomatoes,87%,Metacritic,81/100
1033,"Milwaukee, Minnesota",41,R,95 min,21 Dec 2005,2003,Drama,N/A,6.2,646,Internet Movie Database,6.2/10,Rotten Tomatoes,38%,Metacritic,41/100
1034,The Missing,55,R,137 min,26 Nov 2003,2003,"Adventure, Thriller, Western","$26,900,000",6.5,"31,383",Internet Movie Database,6.5/10,Rotten Tomatoes,58%,Metacritic,55/100
1035,Mona Lisa Smile,45,PG-13,117 min,19 Dec 2003,2003,Drama,"$63,695,760",6.5,"73,054",Internet Movie Database,6.5/10,Rotten Tomatoes,34%,Metacritic,45/100
1036,Monster,74,R,109 min,30 Jan 2004,2003,"Biography, Crime, Drama, Thriller","$34,187,787",7.3,"125,959",Internet Movie Database,7.3/10,Rotten Tomatoes,81%,Metacritic,74/100
1037,Monster Man,N/A,R,95 min,11 Mar 2005,2003,"Adventure, Comedy, Horror",N/A,5.9,"4,070",Internet Movie Database,5.9/10,Rotten Tomatoes,60%,null,null
1038,My Boss's Daughter,N/A,PG-13,86 min,22 Aug 2003,2003,"Comedy, Romance",N/A,4.7,"27,065",Internet Movie Database,4.7/10,Rotten Tomatoes,8%,null,null
1039,My Flesh and Blood,78,UNRATED,83 min,17 Jan 2003,2003,Documentary,N/A,8.4,"1,627",Internet Movie Database,8.4/10,Rotten Tomatoes,90%,Metacritic,78/100
1040,Mystic River,84,R,138 min,15 Oct 2003,2003,"Crime, Drama, Mystery, Thriller","$88,800,000",7.9,"392,036",Internet Movie Database,7.9/10,Rotten Tomatoes,88%,Metacritic,84/100
1041,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1042,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1043,National Security,31,PG-13,88 min,17 Jan 2003,2003,"Action, Comedy, Crime, Thriller","$35,764,982",5.6,"44,636",Internet Movie Database,5.6/10,Rotten Tomatoes,11%,Metacritic,31/100
1044,The Night We Called It a Day,N/A,R,97 min,14 Aug 2003,2003,"Biography, Comedy, Drama",N/A,6.0,804,Internet Movie Database,6.0/10,null,null,null,null
1045,Old School,54,R,88 min,21 Feb 2003,2003,Comedy,"$74,608,545",7.1,"205,380",Internet Movie Database,7.1/10,Rotten Tomatoes,60%,Metacritic,54/100
1046,Once Upon a Time in Mexico,56,R,102 min,12 Sep 2003,2003,"Action, Crime, Thriller","$55,900,000",6.4,"146,512",Internet Movie Database,6.4/10,Rotten Tomatoes,67%,Metacritic,56/100
1047,Open Range,67,R,139 min,15 Aug 2003,2003,"Action, Drama, Romance, Western","$58,260,046",7.4,"62,783",Internet Movie Database,7.4/10,Rotten Tomatoes,79%,Metacritic,67/100
1048,Open Water,63,R,79 min,20 Aug 2004,2003,"Adventure, Drama, Horror, Thriller","$30,500,882",5.7,"48,711",Internet Movie Database,5.7/10,Rotten Tomatoes,71%,Metacritic,63/100
1049,The Order,21,R,102 min,05 Sep 2003,2003,"Horror, Mystery, Thriller","$7,536,577",5.2,"16,262",Internet Movie Database,5.2/10,Rotten Tomatoes,8%,Metacritic,21/100
1050,Out of Time,63,PG-13,105 min,03 Oct 2003,2003,"Crime, Drama, Mystery, Thriller",N/A,6.5,"53,460",Internet Movie Database,6.5/10,Metacritic,63/100,null,null
1051,Party Monster,36,R,98 min,17 Oct 2003,2003,"Biography, Crime, Drama, Thriller","$296,665",6.3,"14,288",Internet Movie Database,6.3/10,Rotten Tomatoes,29%,Metacritic,36/100
1052,Paper Soldiers,N/A,R,88 min,01 Jun 2002,2002,"Action, Comedy, Crime",N/A,5.5,"1,075",Internet Movie Database,5.5/10,null,null,null,null
1053,Pauly Shore Is Dead,N/A,R,82 min,01 Jan 2003,2003,Comedy,N/A,4.4,"4,403",Internet Movie Database,4.4/10,Rotten Tomatoes,57%,null,null
1054,Paycheck,43,PG-13,119 min,25 Dec 2003,2003,"Action, Mystery, Sci-Fi, Thriller","$53,681,119",6.3,"98,800",Internet Movie Database,6.3/10,Rotten Tomatoes,27%,Metacritic,43/100
1055,Peter Pan,76,G,77 min,05 Feb 1953,1953,"Animation, Adventure, Family, Fantasy, Musical",N/A,7.3,"114,793",Internet Movie Database,7.3/10,Rotten Tomatoes,80%,Metacritic,76/100
1056,Phone Booth,56,R,81 min,04 Apr 2003,2002,"Crime, Thriller","$46,524,362",7.0,"238,804",Internet Movie Database,7.0/10,Rotten Tomatoes,72%,Metacritic,56/100
1057,Pieces of April,70,PG-13,80 min,28 Nov 2003,2003,"Comedy, Drama","$2,400,000",7.0,"19,348",Internet Movie Database,7.0/10,Rotten Tomatoes,84%,Metacritic,70/100
1058,Piglet's Big Movie,62,G,75 min,21 Mar 2003,2003,"Animation, Adventure, Comedy, Family, Musical, Mystery","$23,073,611",6.1,"6,239",Internet Movie Database,6.1/10,Rotten Tomatoes,70%,Metacritic,62/100
1059,Pirates of the Caribbean: The Curse of the Black Pearl,63,PG-13,143 min,09 Jul 2003,2003,"Action, Adventure, Fantasy","$305,343,252",8.0,"973,101",Internet Movie Database,8.0/10,Rotten Tomatoes,79%,Metacritic,63/100
1060,Poolhall Junkies,36,R,99 min,28 Feb 2003,2002,"Comedy, Drama, Sport, Thriller","$504,507",6.9,"9,335",Internet Movie Database,6.9/10,Rotten Tomatoes,33%,Metacritic,36/100
1061,Prey for Rock & Roll,48,R,104 min,04 Jun 2004,2003,"Drama, Music",N/A,6.2,"1,834",Internet Movie Database,6.2/10,Rotten Tomatoes,56%,Metacritic,48/100
