,Title,Metascore,Rated,Runtime,Released,Year,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score
3078,Madea's Big Happy Family,45,PG-13,106 min,22 Apr 2011,2011,"Comedy, Drama","$53,311,948",4.7,"7,080",Internet Movie Database,4.7/10,Rotten Tomatoes,37%,Metacritic,45/100
3079,Margaret,61,R,150 min,01 Jun 2012,2011,Drama,"$46,495",6.4,"14,818",Internet Movie Database,6.4/10,Rotten Tomatoes,73%,Metacritic,61/100
3080,Margin Call,76,R,107 min,29 Sep 2011,2011,"Drama, Thriller","$600,000",7.1,"108,112",Internet Movie Database,7.1/10,Rotten Tomatoes,87%,Metacritic,76/100
3081,Mars Needs Moms,49,PG,88 min,11 Mar 2011,2011,"Animation, Action, Adventure, Family, Sci-Fi","$21,379,315",5.4,"19,978",Internet Movie Database,5.4/10,Rotten Tomatoes,37%,Metacritic,49/100
3082,Martha Marcy May Marlene,75,R,102 min,21 Dec 2011,2011,"Drama, Mystery, Thriller","$2,981,038",6.9,"46,274",Internet Movie Database,6.9/10,Rotten Tomatoes,90%,Metacritic,75/100
3083,The Mechanic,49,R,93 min,28 Jan 2011,2011,"Action, Thriller","$29,113,588",6.6,"142,797",Internet Movie Database,6.6/10,Rotten Tomatoes,53%,Metacritic,49/100
3084,Midnight in Paris,81,PG-13,94 min,10 Jun 2011,2011,"Comedy, Fantasy, Romance","$55,400,000",7.7,"359,754",Internet Movie Database,7.7/10,Rotten Tomatoes,93%,Metacritic,81/100
3085,Mission: Impossible - Ghost Protocol,73,PG-13,132 min,21 Dec 2011,2011,"Action, Adventure, Thriller","$209,364,921",7.4,"432,054",Internet Movie Database,7.4/10,Rotten Tomatoes,93%,Metacritic,73/100
3086,Moneyball,87,PG-13,133 min,23 Sep 2011,2011,"Biography, Drama, Sport","$75,605,492",7.6,"330,504",Internet Movie Database,7.6/10,Rotten Tomatoes,94%,Metacritic,87/100
3087,Money Matters,N/A,NOT RATED,89 min,15 Nov 2011,2011,Drama,N/A,5.1,107,Internet Movie Database,5.1/10,null,null,null,null
3088,Monte Carlo,43,PG,109 min,01 Jul 2011,2011,"Adventure, Comedy, Family, Romance","$22,500,000",5.8,"39,071",Internet Movie Database,5.8/10,Rotten Tomatoes,39%,Metacritic,43/100
3089,Mr. Popper's Penguins,53,PG,94 min,17 Jun 2011,2011,"Comedy, Family, Fantasy","$68,100,000",6.0,"81,541",Internet Movie Database,6.0/10,Rotten Tomatoes,48%,Metacritic,53/100
3090,The Muppets,75,PG,103 min,23 Nov 2011,2011,"Adventure, Comedy, Family, Musical","$88,625,922",7.1,"83,300",Internet Movie Database,7.1/10,Rotten Tomatoes,95%,Metacritic,75/100
3091,The Music Never Stopped,60,PG,105 min,27 Oct 2011,2011,"Drama, Music","$258,077",7.5,"7,303",Internet Movie Database,7.5/10,Rotten Tomatoes,67%,Metacritic,60/100
3092,New Year's Eve,22,PG-13,113 min,09 Dec 2011,2011,"Comedy, Romance","$54,538,013",5.7,"77,197",Internet Movie Database,5.7/10,Rotten Tomatoes,7%,Metacritic,22/100
3093,Newlyweds,N/A,Not Rated,95 min,26 Dec 2011,2011,"Comedy, Drama",N/A,6.3,"1,447",Internet Movie Database,6.3/10,Rotten Tomatoes,73%,null,null
3094,No Strings Attached,50,R,108 min,21 Jan 2011,2011,"Comedy, Romance","$70,300,000",6.2,"199,604",Internet Movie Database,6.2/10,Rotten Tomatoes,49%,Metacritic,50/100
3095,One Day,48,PG-13,107 min,19 Aug 2011,2011,"Drama, Romance","$13,766,014",7.0,"129,415",Internet Movie Database,7.0/10,Rotten Tomatoes,36%,Metacritic,48/100
3096,Our Idiot Brother,60,R,90 min,26 Aug 2011,2011,"Comedy, Drama","$24,600,000",6.4,"81,246",Internet Movie Database,6.4/10,Rotten Tomatoes,70%,Metacritic,60/100
3097,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3098,Paranormal Activity 3,59,R,83 min,21 Oct 2011,2011,"Horror, Mystery, Thriller","$103,993,239",5.8,"86,311",Internet Movie Database,5.8/10,Rotten Tomatoes,67%,Metacritic,59/100
3099,Paul,57,R,104 min,18 Mar 2011,2011,"Adventure, Comedy, Sci-Fi","$37,371,385",7.0,"222,336",Internet Movie Database,7.0/10,Rotten Tomatoes,71%,Metacritic,57/100
3100,Pearl Jam Twenty,59,Not Rated,109 min,21 Oct 2011,2011,"Documentary, History, Music","$454,784",8.3,"7,340",Internet Movie Database,8.3/10,Rotten Tomatoes,68%,Metacritic,59/100
3101,Peep World,27,R,79 min,25 Mar 2011,2010,"Comedy, Drama","$10,908",5.6,"3,504",Internet Movie Database,5.6/10,Rotten Tomatoes,25%,Metacritic,27/100
3102,The Perfect Host,48,R,93 min,07 May 2011,2010,"Comedy, Crime, Thriller","$48,289",6.8,"23,552",Internet Movie Database,6.8/10,Rotten Tomatoes,45%,Metacritic,48/100
3103,Pirates of the Caribbean: On Stranger Tides,45,PG-13,136 min,20 May 2011,2011,"Action, Adventure, Fantasy","$241,063,875",6.6,"451,969",Internet Movie Database,6.6/10,Rotten Tomatoes,33%,Metacritic,45/100
3104,Priest,41,PG-13,87 min,13 May 2011,2011,"Action, Horror, Thriller","$29,100,000",5.7,"109,330",Internet Movie Database,5.7/10,Rotten Tomatoes,15%,Metacritic,41/100
3105,Prom,50,PG,104 min,29 Apr 2011,2011,"Comedy, Drama, Family, Romance","$10,106,233",5.4,"14,374",Internet Movie Database,5.4/10,Rotten Tomatoes,36%,Metacritic,50/100
3106,Puncture,54,R,100 min,15 Mar 2012,2011,"Biography, Drama","$67,071",6.8,"21,681",Internet Movie Database,6.8/10,Rotten Tomatoes,52%,Metacritic,54/100
3107,Puss in Boots,65,PG,90 min,28 Oct 2011,2011,"Animation, Action, Adventure, Comedy, Family, Fantasy","$149,234,747",6.6,"134,978",Internet Movie Database,6.6/10,Rotten Tomatoes,85%,Metacritic,65/100
