Title,Year
Blade II,2002
Blood Work,2002
Blue Crush,2002
Book of Love,2002
The Bourne Identity,2002
Bowling for Columbine,2002
Brown Sugar,2002
Bubba Ho-tep,2002
The Burial Society,2002
Buying the Cow,2002
Cabin Fever,2002
Carrie,2002
Catch Me If You Can,2002
Chance,2002
Changing Lanes,2002
Chat Room,2002
Chelsea Walls,2002
Chicago,2002
Ciao America,2002
City by the Sea,2002
City of Ghosts,2002
Civil Brand,2002
Clockstoppers,2002
The Cockettes,2002
Collateral Damage,2002
The Crocodile Hunter: Collision Course,2002
Comedian,2002
Confessions of a Dangerous Mind,2002
The Count of Monte Cristo,2002
The Country Bears,2002
Crazy as Hell,2002
Crossroads,2002
Cypher,2002
The Dancer Upstairs,2002
The Dangerous Lives of Altar Boys,2002
Darkness,2002
Daughter from Da Nang,2002
Death to Smoochy,2002
Demon Island,2002
Deuces Wild,2002
Divine Secrets of the Ya-Ya Sisterhood,2002
Dragonfly,2002
Drumline,2002
Easy Listening,2002
Eight Crazy Nights,2002
Eight Legged Freaks,2002
The Emperor's Club,2002
Empire,2002
Enough,2002
Equilibrium,2002
Evelyn,2002
Far from Heaven,2002
FeardotCom,2002
The First $20 Million Is Always the Hardest,2002
Frida,2002
Friday After Next,2002
The Four Feathers,2002
Full Frontal,2002
Gangs of New York,2002
Ghost Ship,2002
The Good Girl,2002
Groom Lake,2002
The Guru,2002
The Guys,2002
Half Past Dead,2002
Halloween: Resurrection,2002
Harry Potter and the Chamber of Secrets,2002
Hart's War,2002
Hey Arnold!: The Movie,2002
High Crimes,2002
Highway,2002
Hollywood Ending,2002
Home Room,2002
The Hot Chick,2002
The Hours,2002
Hysterical Blindness,2002
I Spy,2002
Ice Age,2002
Igby Goes Down,2002
Impostor,2002
Interstate 60,2002
Insomnia,2002
Jackass: The Movie,2002
Jason X,2002
John Q,2002
Jonah: A VeggieTales Movie,2002
Juwanna Mann,2002
K-19: The Widowmaker,2002
K-9: P.I.,2002
The Kid Stays in the Picture,2002
Killing Me Softly,2002
Kiss the Bride,2002
Kung Pow! Enter the Fist,2002
The Laramie Project,2002
Last Call,2002
Laurel Canyon,2002
Life or Something Like It,2002
Like Mike,2002
Lilo & Stitch,2002
The Lord of the Rings: The Two Towers,2002
Maid in Manhattan,2002
The Man from Elysian Fields,2002
The Master of Disguise,2002
Men in Black II,2002
Minority Report,2002
Moonlight Mile,2002
The Mothman Prophecies,2002
Mr. Deeds,2002
Murder by Numbers,2002
My Big Fat Greek Wedding,2002
Narc,2002
National Lampoon's Van Wilder,2002
New Best Friend,2002
The New Guy,2002
Nicholas Nickleby,2002
Night at the Golden Eagle,2002
On Line,2002
One Hour Photo,2002
Orange County,2002
Paid in Full,2002
Panic Room,2002
Path to War,2002
Personal Velocity: Three Portraits,2002
Pinocchio,2002
Poolhall Junkies,2002
Possession,2002
The Powerpuff Girls Movie,2002
Prisoner of Paradise,2002
Pumpkin,2002
Punch-Drunk Love,2002
Queen of the Damned,2002
The Quiet American,2002
R.S.V.P.,2002
Real Women Have Curves,2002
Red Dragon,2002
Reign of Fire,2002
Return to Never Land,2002
The Ring,2002
Ripley's Game,2002
Road to Perdition,2002
Roger Dodger,2002
Rollerball,2002
The Rookie,2002
The Rules of Attraction,2002
S1m0ne,2002
The Salton Sea,2002
