Title,Metascore,Rated,Runtime,Released,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score,release_month,release_year
Pollock,77.0,R,122 min,23 Mar 2001,"Biography, Drama",7280174.0,7.0,"25,606",Internet Movie Database,7.0,Rotten Tomatoes,8.1,Metacritic,7.7,03,2001
Proof of Life,45.0,R,135 min,08 Dec 2000,"Action, Drama, Thriller",31193043.0,6.2,"52,983",Internet Movie Database,6.2,Rotten Tomatoes,3.9,Metacritic,4.5,12,2000
Quills,70.0,R,124 min,25 Dec 2000,"Biography, Drama",4284664.0,7.3,"49,326",Internet Movie Database,7.3,Rotten Tomatoes,7.5,Metacritic,7.0,12,2000
Remember the Titans,48.0,PG,113 min,29 Sep 2000,"Biography, Drama, Sport",114297071.0,7.8,"186,166",Internet Movie Database,7.8,Rotten Tomatoes,7.3,Metacritic,4.8,09,2000
The Replacements,30.0,PG-13,118 min,11 Aug 2000,"Comedy, Sport",44004460.0,6.6,"54,798",Internet Movie Database,6.6,Rotten Tomatoes,4.1,Metacritic,3.0,08,2000
Requiem for a Dream,68.0,R,102 min,15 Dec 2000,Drama,2546851.0,8.3,"708,524",Internet Movie Database,8.3,Rotten Tomatoes,7.9,Metacritic,6.8,12,2000
Sexy Beast,79.0,R,89 min,13 Jul 2001,"Crime, Drama, Thriller",5972627.0,7.3,"50,730",Internet Movie Database,7.3,Rotten Tomatoes,8.6,Metacritic,7.9,07,2001
Shadow of the Vampire,71.0,R,92 min,26 Jan 2001,"Drama, Horror",7518962.0,6.9,"38,051",Internet Movie Database,6.9,Rotten Tomatoes,8.2,Metacritic,7.1,01,2001
Shaft,50.0,R,99 min,16 Jun 2000,"Action, Crime, Thriller",70334258.0,5.9,"69,457",Internet Movie Database,5.9,Rotten Tomatoes,6.7,Metacritic,5.0,06,2000
Snatch,55.0,R,102 min,19 Jan 2001,"Comedy, Crime",30093107.0,8.3,"729,083",Internet Movie Database,8.3,Rotten Tomatoes,7.3,Metacritic,5.5,01,2001
Songcatcher,63.0,PG-13,109 min,27 Jul 2001,"Drama, Music",1634064.0,7.2,"3,084",Internet Movie Database,7.2,Rotten Tomatoes,7.4,Metacritic,6.3,07,2001
The Tao of Steve,70.0,R,87 min,01 Sep 2000,"Comedy, Drama, Romance",2586310.0,6.7,"7,131",Internet Movie Database,6.7,Rotten Tomatoes,8.0,Metacritic,7.0,09,2000
Traffic,86.0,R,147 min,05 Jan 2001,"Crime, Drama, Thriller",123836420.0,7.6,"187,487",Internet Movie Database,7.6,Rotten Tomatoes,9.2,Metacritic,8.6,01,2001
Turn It Up,18.0,R,86 min,06 Sep 2000,"Crime, Drama, Action, Music",738654.0,4.2,"1,098",Internet Movie Database,4.2,Rotten Tomatoes,0.8,Metacritic,1.8,09,2000
Unbreakable,62.0,PG-13,106 min,22 Nov 2000,"Drama, Mystery, Sci-Fi, Thriller",95000000.0,7.3,"359,698",Internet Movie Database,7.3,Rotten Tomatoes,7.0,Metacritic,6.2,11,2000
Urban Legends: Final Cut,16.0,R,97 min,22 Sep 2000,"Horror, Mystery, Thriller",21007274.0,4.3,"15,082",Internet Movie Database,4.3,Rotten Tomatoes,0.9,Metacritic,1.6,09,2000
Vertical Limit,48.0,PG-13,124 min,08 Dec 2000,"Action, Adventure, Drama, Thriller",67771442.0,5.9,"55,764",Internet Movie Database,5.9,Rotten Tomatoes,4.8,Metacritic,4.8,12,2000
The Visit,55.0,PG-13,94 min,11 Sep 2015,"Horror, Mystery, Thriller",56499874.0,6.2,"104,031",Internet Movie Database,6.2,Rotten Tomatoes,6.7,Metacritic,5.5,09,2015
The Watcher,22.0,R,97 min,08 Sep 2000,"Crime, Drama, Mystery, Thriller",28572915.0,5.3,"24,499",Internet Movie Database,5.3,Rotten Tomatoes,1.0,Metacritic,2.2,09,2000
