Title,Metascore,Rated,Runtime,Released,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score,release_month,release_year
The Brothers Bloom,55.0,PG-13,114 min,19 Jun 2009,"Action, Adventure, Comedy, Crime, Drama, Romance",3479844.0,6.8,"46,593",Internet Movie Database,6.8,Rotten Tomatoes,6.8,Metacritic,5.5,06,2009
Burn After Reading,63.0,R,96 min,12 Sep 2008,"Comedy, Crime, Drama, Thriller",60338891.0,7.0,"290,816",Internet Movie Database,7.0,Rotten Tomatoes,7.8,Metacritic,6.3,09,2008
Cadillac Records,65.0,R,109 min,05 Dec 2008,"Biography, Drama, Music",8134217.0,7.0,"18,593",Internet Movie Database,7.0,Rotten Tomatoes,6.6,Metacritic,6.5,12,2008
Changeling,63.0,R,141 min,31 Oct 2008,"Biography, Crime, Drama, History, Mystery, Thriller",35707327.0,7.7,"224,840",Internet Movie Database,7.7,Rotten Tomatoes,6.1,Metacritic,6.3,10,2008
Choke,47.0,R,92 min,26 Sep 2008,"Comedy, Drama",2831900.0,6.5,"30,597",Internet Movie Database,6.5,Rotten Tomatoes,5.5,Metacritic,4.7,09,2008
The Chronicles of Narnia: Prince Caspian,62.0,PG,150 min,16 May 2008,"Action, Adventure, Family, Fantasy",141614023.0,6.5,"181,642",Internet Movie Database,6.5,Rotten Tomatoes,6.6,Metacritic,6.2,05,2008
City of Ember,58.0,PG,90 min,10 Oct 2008,"Adventure, Family, Fantasy, Sci-Fi",7800000.0,6.5,"60,047",Internet Movie Database,6.5,Rotten Tomatoes,5.3,Metacritic,5.8,10,2008
Cloverfield,64.0,PG-13,85 min,18 Jan 2008,"Horror, Sci-Fi, Thriller",79952254.0,7.0,"354,399",Internet Movie Database,7.0,Rotten Tomatoes,7.7,Metacritic,6.4,01,2008
College,15.0,R,94 min,29 Aug 2008,Comedy,4700000.0,4.6,"11,768",Internet Movie Database,4.6,Rotten Tomatoes,0.5,Metacritic,1.5,08,2008
College Road Trip,36.0,G,83 min,07 Mar 2008,"Adventure, Comedy, Drama, Family",45500000.0,4.3,"14,677",Internet Movie Database,4.3,Rotten Tomatoes,1.2,Metacritic,3.6,03,2008
The Curious Case of Benjamin Button,70.0,PG-13,166 min,25 Dec 2008,"Drama, Fantasy, Romance",127490802.0,7.8,"545,579",Internet Movie Database,7.8,Rotten Tomatoes,7.1,Metacritic,7.0,12,2008
The Dark Knight,84.0,PG-13,152 min,18 Jul 2008,"Action, Crime, Drama, Thriller",533316061.0,9.0,"2,101,295",Internet Movie Database,9.0,Rotten Tomatoes,9.4,Metacritic,8.4,07,2008
The Day the Earth Stood Still,40.0,PG-13,104 min,12 Dec 2008,"Drama, Sci-Fi, Thriller",79136963.0,5.5,"156,812",Internet Movie Database,5.5,Rotten Tomatoes,2.1,Metacritic,4.0,12,2008
Death Race,43.0,R,105 min,22 Aug 2008,"Action, Sci-Fi, Thriller",36064910.0,6.4,"189,118",Internet Movie Database,6.4,Rotten Tomatoes,4.2,Metacritic,4.3,08,2008
Deception,31.0,R,107 min,25 Apr 2008,"Crime, Drama, Mystery, Thriller",4575019.0,6.1,"36,439",Internet Movie Database,6.1,Rotten Tomatoes,1.1,Metacritic,3.1,04,2008
Defiance,58.0,R,137 min,16 Jan 2009,"Action, Drama, History, Thriller, War",28622873.0,7.2,"131,085",Internet Movie Database,7.2,Rotten Tomatoes,5.8,Metacritic,5.8,01,2009
"Definitely, Maybe",59.0,PG-13,112 min,14 Feb 2008,"Comedy, Drama, Romance",32000000.0,7.1,"147,496",Internet Movie Database,7.1,Rotten Tomatoes,7.1,Metacritic,5.9,02,2008
Delgo,27.0,PG,94 min,12 Dec 2008,"Animation, Adventure, Comedy, Family, Fantasy, Romance",511920.0,4.3,"2,724",Internet Movie Database,4.3,Rotten Tomatoes,1.2,Metacritic,2.7,12,2008
Disaster Movie,15.0,PG-13,87 min,29 Aug 2008,Comedy,14174654.0,1.9,"83,575",Internet Movie Database,1.9,Rotten Tomatoes,0.1,Metacritic,1.5,08,2008
Doomsday,51.0,R,105 min,14 Mar 2008,"Action, Sci-Fi, Thriller",10955425.0,6.0,"69,723",Internet Movie Database,6.0,Rotten Tomatoes,5.1,Metacritic,5.1,03,2008
Doubt,68.0,PG-13,104 min,25 Dec 2008,"Drama, Mystery",33422556.0,7.5,"114,732",Internet Movie Database,7.5,Rotten Tomatoes,8.0,Metacritic,6.8,12,2008
Drillbit Taylor,41.0,PG-13,110 min,21 Mar 2008,"Comedy, Drama",32853640.0,5.7,"55,625",Internet Movie Database,5.7,Rotten Tomatoes,2.6,Metacritic,4.1,03,2008
Eagle Eye,43.0,PG-13,118 min,26 Sep 2008,"Action, Mystery, Thriller",101111837.0,6.6,"168,272",Internet Movie Database,6.6,Rotten Tomatoes,2.7,Metacritic,4.3,09,2008
Elegy,66.0,R,112 min,18 Apr 2008,"Drama, Romance",3456676.0,6.8,"21,192",Internet Movie Database,6.8,Rotten Tomatoes,7.4,Metacritic,6.6,04,2008
Expelled: No Intelligence Allowed,20.0,PG,90 min,18 Apr 2008,Documentary,7499617.0,3.8,"11,677",Internet Movie Database,3.8,Rotten Tomatoes,1.1,Metacritic,2.0,04,2008
The Eye,36.0,PG-13,98 min,01 Feb 2008,"Drama, Horror, Mystery, Thriller",31400000.0,5.4,"49,449",Internet Movie Database,5.4,Rotten Tomatoes,2.2,Metacritic,3.6,02,2008
The Family That Preys,49.0,PG-13,111 min,12 Sep 2008,Drama,37019849.0,5.6,"6,487",Internet Movie Database,5.6,Rotten Tomatoes,5.2,Metacritic,4.9,09,2008
Fireflies in the Garden,34.0,R,120 min,17 Jul 2008,Drama,36884.0,6.5,"11,983",Internet Movie Database,6.5,Rotten Tomatoes,2.1,Metacritic,3.4,07,2008
Fireproof,28.0,PG,122 min,26 Sep 2008,"Drama, Fantasy, Romance",33451479.0,6.5,"19,836",Internet Movie Database,6.5,Rotten Tomatoes,4.0,Metacritic,2.8,09,2008
Flash of Genius,57.0,PG-13,119 min,03 Oct 2008,"Biography, Drama",4234040.0,7.0,"15,844",Internet Movie Database,7.0,Rotten Tomatoes,6.0,Metacritic,5.7,10,2008
Fool's Gold,29.0,PG-13,112 min,08 Feb 2008,"Action, Adventure, Comedy, Romance, Thriller",70158206.0,5.7,"69,156",Internet Movie Database,5.7,Rotten Tomatoes,1.1,Metacritic,2.9,02,2008
The Forbidden Kingdom,57.0,PG-13,104 min,18 Apr 2008,"Action, Adventure, Fantasy",40044561.0,6.6,"97,609",Internet Movie Database,6.6,Rotten Tomatoes,6.4,Metacritic,5.7,04,2008
Forever Strong,37.0,PG-13,112 min,26 Sep 2008,"Drama, Sport",549351.0,7.2,"9,863",Internet Movie Database,7.2,Rotten Tomatoes,2.9,Metacritic,3.7,09,2008
Forgetting Sarah Marshall,67.0,R,111 min,18 Apr 2008,"Comedy, Drama, Romance",62900000.0,7.1,"249,148",Internet Movie Database,7.1,Rotten Tomatoes,8.3,Metacritic,6.7,04,2008
Four Christmases,41.0,PG-13,88 min,26 Nov 2008,"Comedy, Drama, Romance",120100000.0,5.6,"58,622",Internet Movie Database,5.6,Rotten Tomatoes,2.4,Metacritic,4.1,11,2008
Frost/Nixon,80.0,R,122 min,23 Jan 2009,"Biography, Drama, History",18600000.0,7.7,"97,681",Internet Movie Database,7.7,Rotten Tomatoes,9.3,Metacritic,8.0,01,2009
Frozen River,82.0,R,97 min,05 Sep 2008,"Crime, Drama",2061019.0,7.1,"23,747",Internet Movie Database,7.1,Rotten Tomatoes,8.8,Metacritic,8.2,09,2008
Funny Games,44.0,R,111 min,04 Apr 2008,"Crime, Drama, Thriller",1045279.0,6.5,"84,568",Internet Movie Database,6.5,Rotten Tomatoes,5.2,Metacritic,4.4,04,2008
Get Smart,54.0,PG-13,110 min,20 Jun 2008,"Action, Adventure, Comedy",130246343.0,6.5,"191,772",Internet Movie Database,6.5,Rotten Tomatoes,5.0,Metacritic,5.4,06,2008
Ghost Town,72.0,PG-13,102 min,19 Sep 2008,"Comedy, Drama, Fantasy, Romance",13214030.0,6.7,"66,307",Internet Movie Database,6.7,Rotten Tomatoes,8.5,Metacritic,7.2,09,2008
Gran Torino,72.0,R,116 min,09 Jan 2009,Drama,148055047.0,8.1,"676,361",Internet Movie Database,8.1,Rotten Tomatoes,8.1,Metacritic,7.2,01,2009
Hamlet 2,54.0,R,92 min,27 Aug 2008,"Comedy, Music",4784111.0,6.4,"16,162",Internet Movie Database,6.4,Rotten Tomatoes,6.2,Metacritic,5.4,08,2008
Hancock,49.0,PG-13,92 min,02 Jul 2008,"Action, Adventure, Fantasy",227946274.0,6.4,"417,000",Internet Movie Database,6.4,Rotten Tomatoes,4.1,Metacritic,4.9,07,2008
The Happening,34.0,R,91 min,13 Jun 2008,"Drama, Mystery, Sci-Fi, Thriller",64500000.0,5.0,"187,590",Internet Movie Database,5.0,Rotten Tomatoes,1.8,Metacritic,3.4,06,2008
Harold & Kumar Escape from Guantanamo Bay,57.0,R,104 min,25 Apr 2008,"Adventure, Comedy",38087366.0,6.6,"125,774",Internet Movie Database,6.6,Rotten Tomatoes,5.2,Metacritic,5.7,04,2008
The Haunting of Molly Hartley,28.0,PG-13,82 min,31 Oct 2008,"Drama, Horror, Thriller",13350177.0,3.9,"9,019",Internet Movie Database,3.9,Rotten Tomatoes,0.3,Metacritic,2.8,10,2008
Hellboy II: The Golden Army,78.0,PG-13,120 min,11 Jul 2008,"Action, Adventure, Fantasy, Horror, Sci-Fi, War",75754670.0,7.0,"244,675",Internet Movie Database,7.0,Rotten Tomatoes,8.6,Metacritic,7.8,07,2008
Henry Poole Is Here,44.0,PG,99 min,15 Aug 2008,"Comedy, Drama",1749146.0,6.5,"11,912",Internet Movie Database,6.5,Rotten Tomatoes,3.9,Metacritic,4.4,08,2008
High School Musical 3: Senior Year,57.0,G,112 min,24 Oct 2008,"Comedy, Drama, Family, Music, Musical, Romance",90535406.0,4.7,"53,616",Internet Movie Database,4.7,Rotten Tomatoes,6.4,Metacritic,5.7,10,2008
Horton Hears a Who!,71.0,G,86 min,14 Mar 2008,"Animation, Adventure, Comedy, Family, Fantasy",154388002.0,6.8,"122,457",Internet Movie Database,6.8,Rotten Tomatoes,7.9,Metacritic,7.1,03,2008
The House Bunny,55.0,PG-13,97 min,22 Aug 2008,"Comedy, Romance",48237389.0,5.5,"74,814",Internet Movie Database,5.5,Rotten Tomatoes,4.3,Metacritic,5.5,08,2008
Igor,40.0,PG,87 min,19 Sep 2008,"Animation, Comedy, Family, Fantasy",19420496.0,6.0,"21,525",Internet Movie Database,6.0,Rotten Tomatoes,3.8,Metacritic,4.0,09,2008
In Bruges,67.0,R,107 min,29 Feb 2008,"Comedy, Crime, Drama, Thriller",7550836.0,7.9,"365,138",Internet Movie Database,7.9,Rotten Tomatoes,8.4,Metacritic,6.7,02,2008
The Incredible Hulk,61.0,PG-13,112 min,13 Jun 2008,"Action, Adventure, Sci-Fi",134518390.0,6.7,"407,837",Internet Movie Database,6.7,Rotten Tomatoes,6.7,Metacritic,6.1,06,2008
Indiana Jones and the Kingdom of the Crystal Skull,65.0,PG-13,122 min,22 May 2008,"Action, Adventure",316957122.0,6.1,"397,404",Internet Movie Database,6.1,Rotten Tomatoes,7.8,Metacritic,6.5,05,2008
Iron Man,79.0,PG-13,126 min,02 May 2008,"Action, Adventure, Sci-Fi",318298180.0,7.9,"876,725",Internet Movie Database,7.9,Rotten Tomatoes,9.3,Metacritic,7.9,05,2008
Journey to the Center of the Earth,57.0,PG,93 min,11 Jul 2008,"Action, Adventure, Family, Fantasy, Sci-Fi",101653320.0,5.8,"105,815",Internet Movie Database,5.8,Rotten Tomatoes,6.1,Metacritic,5.7,07,2008
Jumper,35.0,PG-13,88 min,14 Feb 2008,"Action, Adventure, Sci-Fi, Thriller",80055499.0,6.1,"274,251",Internet Movie Database,6.1,Rotten Tomatoes,1.5,Metacritic,3.5,02,2008
Kit Kittredge: An American Girl,63.0,G,101 min,02 Jul 2008,"Comedy, Drama, Family",17533514.0,6.5,"5,309",Internet Movie Database,6.5,Rotten Tomatoes,8.0,Metacritic,6.3,07,2008
Kung Fu Panda,73.0,PG,92 min,06 Jun 2008,"Animation, Action, Adventure, Comedy, Family",215395021.0,7.5,"387,321",Internet Movie Database,7.5,Rotten Tomatoes,8.7,Metacritic,7.3,06,2008
Lakeview Terrace,47.0,PG-13,110 min,19 Sep 2008,"Crime, Drama, Thriller",39263506.0,6.1,"46,632",Internet Movie Database,6.1,Rotten Tomatoes,4.4,Metacritic,4.7,09,2008
Last Chance Harvey,57.0,PG-13,93 min,16 Jan 2009,"Drama, Romance",14840421.0,6.6,"19,637",Internet Movie Database,6.6,Rotten Tomatoes,7.1,Metacritic,5.7,01,2009
Leatherheads,56.0,PG-13,114 min,04 Apr 2008,"Comedy, Drama, Romance, Sport",31199215.0,6.0,"30,031",Internet Movie Database,6.0,Rotten Tomatoes,5.2,Metacritic,5.6,04,2008
The Love Guru,24.0,PG-13,87 min,20 Jun 2008,"Comedy, Romance, Sport",32178777.0,3.8,"48,075",Internet Movie Database,3.8,Rotten Tomatoes,1.4,Metacritic,2.4,06,2008
The Longshots,52.0,PG,94 min,22 Aug 2008,"Biography, Comedy, Drama, Family, Sport",11389715.0,5.3,"3,626",Internet Movie Database,5.3,Rotten Tomatoes,4.1,Metacritic,5.2,08,2008
The Lucky Ones,53.0,R,115 min,26 Sep 2008,"Comedy, Drama, War",183088.0,7.0,"12,887",Internet Movie Database,7.0,Rotten Tomatoes,3.7,Metacritic,5.3,09,2008
Mad Money,41.0,PG-13,104 min,18 Jan 2008,"Comedy, Crime, Thriller",20536106.0,5.8,"19,265",Internet Movie Database,5.8,Rotten Tomatoes,2.1,Metacritic,4.1,01,2008
Madagascar: Escape 2 Africa,61.0,PG,89 min,07 Nov 2008,"Animation, Adventure, Comedy, Family",179982968.0,6.6,"187,405",Internet Movie Database,6.6,Rotten Tomatoes,6.4,Metacritic,6.1,11,2008
Made of Honor,37.0,PG-13,101 min,02 May 2008,"Comedy, Romance",46012734.0,5.9,"63,774",Internet Movie Database,5.9,Rotten Tomatoes,1.5,Metacritic,3.7,05,2008
Mamma Mia!,51.0,PG-13,108 min,18 Jul 2008,"Comedy, Musical, Romance",143704210.0,6.4,"196,828",Internet Movie Database,6.4,Rotten Tomatoes,5.4,Metacritic,5.1,07,2008
Man on Wire,89.0,PG-13,94 min,29 Aug 2008,"Documentary, Biography, History",2600296.0,7.7,"49,771",Internet Movie Database,7.7,Rotten Tomatoes,10.0,Metacritic,8.9,08,2008
Marley & Me,53.0,PG,115 min,25 Dec 2008,"Comedy, Drama, Family",143084510.0,7.1,"137,720",Internet Movie Database,7.1,Rotten Tomatoes,6.2,Metacritic,5.3,12,2008
Max Payne,31.0,PG-13,100 min,17 Oct 2008,"Action, Crime, Drama, Thriller",40632110.0,5.4,"118,175",Internet Movie Database,5.4,Rotten Tomatoes,1.6,Metacritic,3.1,10,2008
Meet Dave,43.0,PG,90 min,11 Jul 2008,"Adventure, Comedy, Family, Romance, Sci-Fi",11644832.0,5.0,"36,320",Internet Movie Database,5.0,Rotten Tomatoes,2.0,Metacritic,4.3,07,2008
Meet the Browns,45.0,PG-13,100 min,21 Mar 2008,"Comedy, Drama, Romance",41939392.0,4.3,"6,286",Internet Movie Database,4.3,Rotten Tomatoes,3.3,Metacritic,4.5,03,2008
Meet the Spartans,9.0,PG-13,86 min,25 Jan 2008,Comedy,38200000.0,2.8,"97,856",Internet Movie Database,2.8,Rotten Tomatoes,0.2,Metacritic,0.9,01,2008
The Midnight Meat Train,58.0,R,100 min,16 May 2008,"Horror, Mystery",34394.0,6.1,"56,055",Internet Movie Database,6.1,Rotten Tomatoes,7.2,Metacritic,5.8,05,2008
Milk,84.0,R,128 min,30 Jan 2009,"Biography, Drama",31716847.0,7.5,"157,044",Internet Movie Database,7.5,Rotten Tomatoes,9.3,Metacritic,8.4,01,2009
Miracle at St. Anna,37.0,R,160 min,26 Sep 2008,"Action, Drama, War",7756328.0,6.1,"17,245",Internet Movie Database,6.1,Rotten Tomatoes,3.3,Metacritic,3.7,09,2008
Mirrors,35.0,R,110 min,15 Aug 2008,"Horror, Mystery",30575158.0,6.1,"97,849",Internet Movie Database,6.1,Rotten Tomatoes,1.5,Metacritic,3.5,08,2008
The Mummy: Tomb of the Dragon Emperor,31.0,PG-13,112 min,01 Aug 2008,"Action, Adventure, Fantasy, Horror, Thriller",101600000.0,5.2,"142,856",Internet Movie Database,5.2,Rotten Tomatoes,1.3,Metacritic,3.1,08,2008
My Best Friend's Girl,34.0,R,101 min,19 Sep 2008,"Comedy, Romance",19151864.0,5.9,"40,937",Internet Movie Database,5.9,Rotten Tomatoes,1.4,Metacritic,3.4,09,2008
Never Back Down,39.0,PG-13,110 min,14 Mar 2008,"Action, Drama, Sport",24767490.0,6.6,"91,491",Internet Movie Database,6.6,Rotten Tomatoes,2.3,Metacritic,3.9,03,2008
Nick and Norah's Infinite Playlist,64.0,PG-13,90 min,03 Oct 2008,"Comedy, Drama, Music, Romance",31487293.0,6.6,"85,248",Internet Movie Database,6.6,Rotten Tomatoes,7.4,Metacritic,6.4,10,2008
Nights in Rodanthe,39.0,PG-13,97 min,26 Sep 2008,"Drama, Romance",41840908.0,6.0,"21,576",Internet Movie Database,6.0,Rotten Tomatoes,3.0,Metacritic,3.9,09,2008
Nim's Island,55.0,PG,96 min,04 Apr 2008,"Adventure, Family, Fantasy",47912652.0,6.0,"31,866",Internet Movie Database,6.0,Rotten Tomatoes,5.1,Metacritic,5.5,04,2008
Nothing Like the Holidays,50.0,PG-13,98 min,12 Dec 2008,"Comedy, Drama, Romance",7478384.0,6.1,"3,486",Internet Movie Database,6.1,Rotten Tomatoes,5.3,Metacritic,5.0,12,2008
One Missed Call,24.0,PG-13,87 min,04 Jan 2008,"Horror, Mystery",26812746.0,4.0,"29,743",Internet Movie Database,4.0,Rotten Tomatoes,0.0,Metacritic,2.4,01,2008
The Other Boleyn Girl,50.0,PG-13,115 min,29 Feb 2008,"Biography, Drama, History, Romance",26800000.0,6.7,"98,059",Internet Movie Database,6.7,Rotten Tomatoes,4.3,Metacritic,5.0,02,2008
Over Her Dead Body,30.0,PG-13,95 min,01 Feb 2008,"Comedy, Fantasy, Romance",7485689.0,5.2,"23,168",Internet Movie Database,5.2,Rotten Tomatoes,1.5,Metacritic,3.0,02,2008
Passengers,41.0,PG-13,116 min,21 Dec 2016,"Drama, Romance, Sci-Fi, Thriller",100014092.0,7.0,"316,029",Internet Movie Database,7.0,Rotten Tomatoes,3.1,Metacritic,4.1,12,2016
The Pirates Who Don't Do Anything: A VeggieTales Movie,49.0,G,85 min,11 Jan 2008,"Animation, Adventure, Comedy, Family, Musical, Sci-Fi",12701880.0,5.7,"2,422",Internet Movie Database,5.7,Rotten Tomatoes,4.1,Metacritic,4.9,01,2008
Pride and Glory,45.0,R,130 min,24 Oct 2008,"Crime, Drama, Thriller",15709385.0,6.6,"57,367",Internet Movie Database,6.6,Rotten Tomatoes,3.5,Metacritic,4.5,10,2008
Prom Night,17.0,PG-13,88 min,11 Apr 2008,"Horror, Mystery",43818159.0,3.9,"31,913",Internet Movie Database,3.9,Rotten Tomatoes,0.8,Metacritic,1.7,04,2008
The Promotion,51.0,R,86 min,13 Jun 2008,Comedy,362531.0,5.7,"17,528",Internet Movie Database,5.7,Rotten Tomatoes,5.3,Metacritic,5.1,06,2008
Punisher: War Zone,30.0,R,103 min,05 Dec 2008,"Action, Crime, Drama, Thriller",7948159.0,5.9,"57,835",Internet Movie Database,5.9,Rotten Tomatoes,2.9,Metacritic,3.0,12,2008
Quantum of Solace,58.0,PG-13,106 min,14 Nov 2008,"Action, Adventure, Thriller",168400000.0,6.6,"380,227",Internet Movie Database,6.6,Rotten Tomatoes,6.5,Metacritic,5.8,11,2008
Quarantine,53.0,R,89 min,10 Oct 2008,"Horror, Thriller",31691811.0,6.0,"65,945",Internet Movie Database,6.0,Rotten Tomatoes,5.6,Metacritic,5.3,10,2008
Rachel Getting Married,82.0,R,113 min,07 Nov 2008,"Drama, Romance",12748504.0,6.7,"45,064",Internet Movie Database,6.7,Rotten Tomatoes,8.4,Metacritic,8.2,11,2008
Rambo,46.0,R,92 min,25 Jan 2008,"Action, Thriller",42724402.0,7.0,"203,869",Internet Movie Database,7.0,Rotten Tomatoes,3.8,Metacritic,4.6,01,2008
The Reader,58.0,R,124 min,30 Jan 2009,"Drama, Romance",34111418.0,7.6,"219,397",Internet Movie Database,7.6,Rotten Tomatoes,6.3,Metacritic,5.8,01,2009
Redbelt,69.0,R,99 min,09 May 2008,"Drama, Sport",2278707.0,6.7,"19,846",Internet Movie Database,6.7,Rotten Tomatoes,6.8,Metacritic,6.9,05,2008
Religulous,56.0,R,101 min,03 Oct 2008,"Documentary, Comedy, War",12995673.0,7.6,"56,300",Internet Movie Database,7.6,Rotten Tomatoes,6.9,Metacritic,5.6,10,2008
Repo! The Genetic Opera,32.0,R,98 min,20 Nov 2008,"Horror, Musical, Sci-Fi",100000.0,6.6,"22,534",Internet Movie Database,6.6,Rotten Tomatoes,3.9,Metacritic,3.2,11,2008
Revolutionary Road,69.0,R,119 min,23 Jan 2009,"Drama, Romance",22877808.0,7.3,"180,812",Internet Movie Database,7.3,Rotten Tomatoes,6.7,Metacritic,6.9,01,2009
Righteous Kill,36.0,R,101 min,12 Sep 2008,"Crime, Mystery, Thriller",39983772.0,6.0,"81,137",Internet Movie Database,6.0,Rotten Tomatoes,1.8,Metacritic,3.6,09,2008
The Rocker,53.0,PG-13,102 min,20 Aug 2008,"Comedy, Music",6339401.0,6.2,"35,558",Internet Movie Database,6.2,Rotten Tomatoes,4.1,Metacritic,5.3,08,2008
Role Models,61.0,R,99 min,07 Nov 2008,Comedy,67300000.0,6.8,"212,514",Internet Movie Database,6.8,Rotten Tomatoes,7.7,Metacritic,6.1,11,2008
The Ruins,44.0,R,90 min,04 Apr 2008,Horror,17402425.0,5.8,"66,470",Internet Movie Database,5.8,Rotten Tomatoes,4.8,Metacritic,4.4,04,2008
Saw V,20.0,R,92 min,24 Oct 2008,"Horror, Mystery, Thriller",56729973.0,5.8,"107,872",Internet Movie Database,5.8,Rotten Tomatoes,1.3,Metacritic,2.0,10,2008
The Secret Life of Bees,57.0,PG-13,114 min,17 Oct 2008,Drama,37665012.0,7.3,"22,786",Internet Movie Database,7.3,Rotten Tomatoes,5.9,Metacritic,5.7,10,2008
Semi-Pro,47.0,R,91 min,29 Feb 2008,"Comedy, Sport",33370443.0,5.8,"74,993",Internet Movie Database,5.8,Rotten Tomatoes,2.3,Metacritic,4.7,02,2008
Seven Pounds,36.0,PG-13,123 min,19 Dec 2008,"Drama, Romance",69951824.0,7.6,"271,150",Internet Movie Database,7.6,Rotten Tomatoes,2.6,Metacritic,3.6,12,2008
Sex and the City,53.0,R,145 min,30 May 2008,"Comedy, Drama, Romance",152595674.0,5.6,"111,080",Internet Movie Database,5.6,Rotten Tomatoes,5.0,Metacritic,5.3,05,2008
Sex Drive,49.0,R,109 min,17 Oct 2008,"Comedy, Romance",8364827.0,6.5,"80,339",Internet Movie Database,6.5,Rotten Tomatoes,4.5,Metacritic,4.9,10,2008
The Sisterhood of the Traveling Pants 2,63.0,PG-13,119 min,06 Aug 2008,"Comedy, Drama, Romance",44029972.0,6.2,"25,753",Internet Movie Database,6.2,Rotten Tomatoes,6.5,Metacritic,6.3,08,2008
Smart People,57.0,R,95 min,11 Apr 2008,"Comedy, Drama, Romance",9496882.0,6.1,"21,936",Internet Movie Database,6.1,Rotten Tomatoes,4.9,Metacritic,5.7,04,2008
Soul Men,49.0,R,100 min,07 Nov 2008,"Comedy, Drama, Music",11966888.0,6.4,"10,042",Internet Movie Database,6.4,Rotten Tomatoes,4.5,Metacritic,4.9,11,2008
Space Chimps,36.0,G,81 min,18 Jul 2008,"Animation, Adventure, Comedy, Family, Sci-Fi",29942542.0,4.5,"10,177",Internet Movie Database,4.5,Rotten Tomatoes,3.3,Metacritic,3.6,07,2008
Speed Racer,37.0,PG,135 min,09 May 2008,"Action, Adventure, Comedy, Drama, Family, Sci-Fi, Sport",43929341.0,6.0,"65,715",Internet Movie Database,6.0,Rotten Tomatoes,4.0,Metacritic,3.7,05,2008
The Spiderwick Chronicles,62.0,PG,96 min,14 Feb 2008,"Action, Adventure, Drama, Family, Fantasy",71148699.0,6.5,"82,434",Internet Movie Database,6.5,Rotten Tomatoes,8.0,Metacritic,6.2,02,2008
The Spirit,30.0,PG-13,103 min,25 Dec 2008,"Action, Adventure, Crime, Fantasy, Sci-Fi, Thriller",19781879.0,4.8,"57,943",Internet Movie Database,4.8,Rotten Tomatoes,1.4,Metacritic,3.0,12,2008
Star Wars: The Clone Wars,35.0,PG,98 min,15 Aug 2008,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",35089551.0,5.9,"50,897",Internet Movie Database,5.9,Rotten Tomatoes,1.8,Metacritic,3.5,08,2008
Step Brothers,51.0,R,98 min,25 Jul 2008,Comedy,100468793.0,6.9,"249,385",Internet Movie Database,6.9,Rotten Tomatoes,5.5,Metacritic,5.1,07,2008
Step Up 2: The Streets,50.0,PG-13,98 min,14 Feb 2008,"Drama, Music, Romance",58006147.0,6.2,"76,599",Internet Movie Database,6.2,Rotten Tomatoes,2.7,Metacritic,5.0,02,2008
Stop-Loss,61.0,R,112 min,28 Mar 2008,"Drama, War",10796776.0,6.5,"19,012",Internet Movie Database,6.5,Rotten Tomatoes,6.5,Metacritic,6.1,03,2008
Strange Wilderness,12.0,R,87 min,01 Feb 2008,"Adventure, Comedy",6515869.0,5.3,"20,196",Internet Movie Database,5.3,Rotten Tomatoes,0.2,Metacritic,1.2,02,2008
The Strangers,47.0,R,86 min,30 May 2008,"Horror, Mystery, Thriller",52500000.0,6.2,"111,380",Internet Movie Database,6.2,Rotten Tomatoes,4.8,Metacritic,4.7,05,2008
Street Kings,55.0,R,109 min,11 Apr 2008,"Action, Crime, Drama, Thriller",26351341.0,6.8,"103,420",Internet Movie Database,6.8,Rotten Tomatoes,3.6,Metacritic,5.5,04,2008
Sunshine Cleaning,61.0,R,91 min,17 Apr 2009,"Comedy, Drama",12033702.0,6.8,"67,357",Internet Movie Database,6.8,Rotten Tomatoes,7.4,Metacritic,6.1,04,2009
Superhero Movie,33.0,PG-13,75 min,28 Mar 2008,"Action, Comedy",25815447.0,4.5,"60,402",Internet Movie Database,4.5,Rotten Tomatoes,1.7,Metacritic,3.3,03,2008
Swing Vote,47.0,PG-13,120 min,01 Aug 2008,"Comedy, Drama",16229781.0,6.1,"16,930",Internet Movie Database,6.1,Rotten Tomatoes,3.8,Metacritic,4.7,08,2008
The Tale of Despereaux,53.0,G,93 min,19 Dec 2008,"Animation, Adventure, Comedy, Family, Fantasy",50818750.0,6.1,"34,265",Internet Movie Database,6.1,Rotten Tomatoes,5.7,Metacritic,5.3,12,2008
Traitor,60.0,PG-13,114 min,27 Aug 2008,"Action, Crime, Drama, Thriller",23501463.0,7.0,"53,453",Internet Movie Database,7.0,Rotten Tomatoes,6.5,Metacritic,6.0,08,2008
Tropic Thunder,71.0,R,107 min,13 Aug 2008,"Action, Comedy, War",110416702.0,7.0,"355,063",Internet Movie Database,7.0,Rotten Tomatoes,8.1,Metacritic,7.1,08,2008
Trouble the Water,83.0,Not Rated,93 min,05 Dec 2008,Documentary,146384.0,7.4,"1,842",Internet Movie Database,7.4,Rotten Tomatoes,9.6,Metacritic,8.3,12,2008
Twilight,56.0,PG-13,122 min,21 Nov 2008,"Drama, Fantasy, Romance",191449475.0,5.2,"398,729",Internet Movie Database,5.2,Rotten Tomatoes,4.9,Metacritic,5.6,11,2008
